   wl      B3_01   B3_02   B3_03   B3_04   B3_05   B3_06   B3_07   B3_08   B3_09   B3_10   B3_11   B3_12   B3_13   B3_14   B3_15   B3_16   B3_17   B3_18   B3_19   B3_20   B3_21
 44.8000  0.1212  0.1834  0.1707  0.2151  0.1463  0.1740  0.1069  0.0962  0.1220  0.1521  0.1385  0.1462  0.1388  0.1314  0.1239  0.1165  0.1139  0.1114  0.1088  0.1063  0.1037
 45.2000  0.0988  0.1100  0.1024  0.1291  0.0878  0.1044  0.0641  0.0577  0.0732  0.0913  0.0831  0.0877  0.0833  0.0788  0.0743  0.0699  0.0684  0.0668  0.0653  0.0637  0.0622
 45.6000  0.0593  0.0660  0.0615  0.0774  0.0527  0.0626  0.0385  0.0346  0.0439  0.0548  0.0499  0.0526  0.0499  0.0472  0.0446  0.0419  0.0410  0.0401  0.0391  0.0382  0.0373
 46.0000  0.0356  0.0396  0.0369  0.0465  0.0316  0.0376  0.0231  0.0208  0.0264  0.0329  0.0299  0.0316  0.0300  0.0284  0.0268  0.0252  0.0246  0.0241  0.0235  0.0230  0.0224
 46.4000  0.0213  0.0238  0.0221  0.0279  0.0190  0.0226  0.0138  0.0125  0.0158  0.0197  0.0179  0.0189  0.0180  0.0170  0.0161  0.0151  0.0148  0.0144  0.0141  0.0137  0.0134
 46.8000  0.0128  0.0143  0.0133  0.0167  0.0114  0.0135  0.0083  0.0075  0.0095  0.0118  0.0108  0.0114  0.0108  0.0103  0.0097  0.0091  0.0089  0.0087  0.0085  0.0083  0.0081
 47.2000  0.0077  0.0086  0.0080  0.0100  0.0068  0.0081  0.0050  0.0045  0.0057  0.0071  0.0065  0.0068  0.0065  0.0061  0.0058  0.0054  0.0053  0.0052  0.0050  0.0049  0.0048
 47.6000  0.0046  0.0051  0.0048  0.0060  0.0041  0.0049  0.0030  0.0027  0.0034  0.0043  0.0039  0.0041  0.0039  0.0037  0.0035  0.0033  0.0032  0.0031  0.0031  0.0030  0.0029
 48.0000  0.0028  0.0031  0.0029  0.0036  0.0025  0.0029  0.0018  0.0016  0.0020  0.0026  0.0023  0.0025  0.0024  0.0022  0.0021  0.0020  0.0019  0.0019  0.0018  0.0018  0.0017
 48.4000  0.0017  0.0018  0.0017  0.0022  0.0015  0.0018  0.0011  0.0010  0.0012  0.0015  0.0014  0.0015  0.0014  0.0014  0.0013  0.0012  0.0012  0.0011  0.0011  0.0010  0.0010
 48.8000  0.0010  0.0011  0.0010  0.0013  0.0009  0.0011  0.0006  0.0006  0.0007  0.0009  0.0008  0.0009  0.0008  0.0008  0.0007  0.0007  0.0007  0.0007  0.0006  0.0006  0.0006
 49.2000  0.0006  0.0007  0.0006  0.0008  0.0005  0.0006  0.0004  0.0003  0.0004  0.0006  0.0005  0.0005  0.0005  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004
 49.6000  0.0004  0.0004  0.0004  0.0005  0.0003  0.0004  0.0002  0.0002  0.0003  0.0003  0.0003  0.0003  0.0003  0.0003  0.0003  0.0003  0.0003  0.0003  0.0002  0.0002  0.0002
 50.0000  0.0002  0.0002  0.0002  0.0003  0.0002  0.0002  0.0001  0.0001  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0001  0.0001  0.0001
