   wl      B1_01   B1_02   B1_03   B1_04   B1_05   B1_06   B1_07   B1_08   B1_09   B1_10   B1_11   B1_12   B1_13   B1_14   B1_15   B1_16   B1_17   B1_18   B1_19   B1_20   B1_21
 32.6000  0.9026  0.8842  0.8658  0.8474  0.8290  0.8105  0.7921  0.7737  0.7553  0.7369  0.7185  0.7447  0.7709  0.7971  0.8233  0.8495  0.8757  0.9019  0.9281  0.9543  0.9805
 33.0000  0.8027  0.7948  0.7869  0.7791  0.7712  0.7633  0.7554  0.7475  0.7397  0.7318  0.7239  0.7426  0.7612  0.7799  0.7985  0.8171  0.8358  0.8544  0.8731  0.8917  0.9104
 33.4000  0.6925  0.7039  0.7154  0.7268  0.7382  0.7497  0.7611  0.7725  0.7839  0.7954  0.8068  0.8089  0.8110  0.8131  0.8152  0.8174  0.8195  0.8216  0.8237  0.8258  0.8279
 33.8000  0.6505  0.6794  0.7083  0.7371  0.7660  0.7949  0.8238  0.8527  0.8815  0.9104  0.9393  0.9225  0.9057  0.8889  0.8721  0.8553  0.8385  0.8217  0.8049  0.7881  0.7713
 34.2000  0.6428  0.6785  0.7142  0.7500  0.7857  0.8214  0.8571  0.8928  0.9286  0.9643  1.0000  0.9764  0.9528  0.9292  0.9056  0.8821  0.8585  0.8349  0.8113  0.7877  0.7641
 34.6000  0.6193  0.6520  0.6846  0.7173  0.7500  0.7826  0.8153  0.8480  0.8807  0.9133  0.9460  0.9322  0.9183  0.9045  0.8906  0.8768  0.8630  0.8491  0.8353  0.8214  0.8076
 35.0000  0.5077  0.5353  0.5629  0.5905  0.6181  0.6457  0.6733  0.7009  0.7285  0.7561  0.7837  0.7725  0.7613  0.7501  0.7389  0.7276  0.7164  0.7052  0.6940  0.6828  0.6716
 35.4000  0.3737  0.4007  0.4278  0.4548  0.4818  0.5088  0.5359  0.5629  0.5899  0.6170  0.6440  0.6267  0.6095  0.5922  0.5750  0.5577  0.5404  0.5232  0.5059  0.4887  0.4714
 35.8000  0.3094  0.3359  0.3624  0.3889  0.4154  0.4420  0.4685  0.4950  0.5215  0.5480  0.5745  0.5433  0.5121  0.4809  0.4497  0.4184  0.3872  0.3560  0.3248  0.2936  0.2624
 36.2000  0.2819  0.3031  0.3244  0.3456  0.3668  0.3880  0.4093  0.4305  0.4517  0.4730  0.4942  0.4628  0.4314  0.3999  0.3685  0.3371  0.3057  0.2743  0.2428  0.2114  0.1800
 36.6000  0.2846  0.2956  0.3066  0.3176  0.3286  0.3395  0.3505  0.3615  0.3725  0.3835  0.3945  0.3722  0.3498  0.3274  0.3051  0.2828  0.2604  0.2380  0.2157  0.1934  0.1710
 37.0000  0.2478  0.2524  0.2569  0.2615  0.2661  0.2706  0.2752  0.2798  0.2844  0.2889  0.2935  0.2800  0.2665  0.2530  0.2395  0.2260  0.2125  0.1990  0.1855  0.1720  0.1585
 37.4000  0.1805  0.1827  0.1849  0.1870  0.1892  0.1914  0.1936  0.1958  0.1979  0.2001  0.2023  0.1948  0.1873  0.1798  0.1723  0.1648  0.1573  0.1498  0.1423  0.1348  0.1273
 37.8000  0.1090  0.1146  0.1202  0.1258  0.1314  0.1370  0.1425  0.1481  0.1537  0.1593  0.1649  0.1592  0.1534  0.1477  0.1419  0.1362  0.1305  0.1247  0.1190  0.1132  0.1075
 38.2000  0.0756  0.0852  0.0949  0.1045  0.1142  0.1238  0.1335  0.1432  0.1528  0.1624  0.1721  0.1637  0.1554  0.1470  0.1387  0.1303  0.1220  0.1137  0.1053  0.0970  0.0886
 38.6000  0.0440  0.0595  0.0751  0.0906  0.1062  0.1217  0.1372  0.1528  0.1683  0.1839  0.1994  0.1815  0.1636  0.1457  0.1278  0.1098  0.0919  0.0740  0.0561  0.0382  0.0203
 39.0000  0.0528  0.0659  0.0791  0.0923  0.1054  0.1186  0.1317  0.1449  0.1580  0.1711  0.1843  0.1718  0.1593  0.1468  0.1343  0.1218  0.1094  0.0969  0.0844  0.0719  0.0594
 39.4000  0.0237  0.0374  0.0512  0.0649  0.0787  0.0924  0.1061  0.1199  0.1336  0.1474  0.1611  0.1515  0.1419  0.1322  0.1226  0.1130  0.1034  0.0938  0.0841  0.0745  0.0649
 39.8000  0.0382  0.0474  0.0566  0.0658  0.0750  0.0842  0.0933  0.1025  0.1117  0.1209  0.1301  0.1203  0.1105  0.1007  0.0909  0.0811  0.0713  0.0615  0.0517  0.0419  0.0321
 40.2000  0.0233  0.0326  0.0419  0.0512  0.0605  0.0698  0.0792  0.0885  0.0978  0.1071  0.1164  0.1053  0.0942  0.0832  0.0721  0.0610  0.0499  0.0388  0.0278  0.0167  0.0056
 40.6000  0.0189  0.0245  0.0301  0.0357  0.0413  0.0468  0.0524  0.0580  0.0636  0.0692  0.0748  0.0690  0.0631  0.0573  0.0514  0.0456  0.0398  0.0339  0.0281  0.0222  0.0164
 41.0000  0.0305  0.0357  0.0409  0.0462  0.0514  0.0566  0.0618  0.0670  0.0723  0.0775  0.0827  0.0766  0.0705  0.0643  0.0582  0.0521  0.0460  0.0399  0.0337  0.0276  0.0215
 41.4000  0.0264  0.0294  0.0324  0.0354  0.0384  0.0414  0.0444  0.0474  0.0504  0.0534  0.0564  0.0523  0.0483  0.0442  0.0402  0.0361  0.0320  0.0280  0.0239  0.0199  0.0158
 41.8000  0.0220  0.0242  0.0264  0.0286  0.0308  0.0330  0.0352  0.0374  0.0396  0.0418  0.0440  0.0408  0.0375  0.0343  0.0310  0.0278  0.0246  0.0213  0.0181  0.0148  0.0116
 42.2000  0.0108  0.0141  0.0173  0.0206  0.0239  0.0271  0.0304  0.0337  0.0370  0.0402  0.0435  0.0393  0.0351  0.0310  0.0268  0.0226  0.0184  0.0142  0.0101  0.0059  0.0017
 42.6000  0.0163  0.0176  0.0188  0.0201  0.0214  0.0226  0.0239  0.0252  0.0265  0.0277  0.0290  0.0278  0.0267  0.0255  0.0244  0.0232  0.0220  0.0209  0.0197  0.0186  0.0174
 43.0000  0.0149  0.0169  0.0189  0.0209  0.0229  0.0249  0.0269  0.0289  0.0309  0.0329  0.0349  0.0320  0.0292  0.0263  0.0235  0.0206  0.0177  0.0149  0.0120  0.0092  0.0063
 43.4000  0.0263  0.0256  0.0249  0.0243  0.0236  0.0229  0.0222  0.0215  0.0209  0.0202  0.0195  0.0186  0.0177  0.0168  0.0159  0.0150  0.0141  0.0132  0.0123  0.0114  0.0105
 43.8000  0.0132  0.0135  0.0138  0.0140  0.0143  0.0146  0.0149  0.0152  0.0154  0.0157  0.0160  0.0149  0.0138  0.0127  0.0116  0.0105  0.0094  0.0083  0.0072  0.0061  0.0050
 44.2000  0.0066  0.0067  0.0069  0.0070  0.0072  0.0073  0.0074  0.0076  0.0077  0.0079  0.0080  0.0075  0.0069  0.0064  0.0058  0.0053  0.0047  0.0041  0.0036  0.0030  0.0025
 44.6000  0.0033  0.0034  0.0034  0.0035  0.0036  0.0037  0.0037  0.0038  0.0039  0.0039  0.0040  0.0037  0.0035  0.0032  0.0029  0.0027  0.0024  0.0021  0.0018  0.0016  0.0013
 45.0000  0.0017  0.0017  0.0018  0.0018  0.0018  0.0019  0.0019  0.0019  0.0019  0.0020  0.0020  0.0019  0.0017  0.0016  0.0015  0.0014  0.0012  0.0011  0.0010  0.0008  0.0007
 45.4000  0.0008  0.0008  0.0008  0.0009  0.0009  0.0009  0.0009  0.0009  0.0010  0.0010  0.0010  0.0009  0.0009  0.0008  0.0008  0.0007  0.0006  0.0006  0.0005  0.0005  0.0004
 45.8000  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0005  0.0005  0.0005  0.0005  0.0005  0.0005  0.0004  0.0004  0.0004  0.0004  0.0003  0.0003  0.0003  0.0002  0.0002
 46.2000  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001
