   wl      B1_01   B1_02   B1_03   B1_04   B1_05   B1_06   B1_07   B1_08   B1_09   B1_10   B1_11   B1_12   B1_13   B1_14   B1_15   B1_16   B1_17   B1_18   B1_19   B1_20   B1_21
 22.6000  0.0007  0.0007  0.0007  0.0007  0.0007  0.0007  0.0006  0.0006  0.0006  0.0006  0.0006  0.0005  0.0005  0.0005  0.0004  0.0004  0.0003  0.0003  0.0002  0.0002  0.0001
 23.0000  0.0014  0.0014  0.0014  0.0014  0.0014  0.0014  0.0013  0.0013  0.0013  0.0013  0.0013  0.0012  0.0011  0.0010  0.0009  0.0008  0.0006  0.0005  0.0004  0.0003  0.0002
 23.4000  0.0029  0.0029  0.0029  0.0028  0.0028  0.0028  0.0028  0.0028  0.0027  0.0027  0.0027  0.0025  0.0022  0.0020  0.0018  0.0016  0.0013  0.0011  0.0009  0.0006  0.0004
 23.8000  0.0057  0.0057  0.0057  0.0056  0.0056  0.0056  0.0056  0.0056  0.0055  0.0055  0.0055  0.0050  0.0046  0.0041  0.0037  0.0032  0.0027  0.0023  0.0018  0.0014  0.0009
 24.2000  0.0115  0.0115  0.0114  0.0114  0.0113  0.0113  0.0113  0.0112  0.0112  0.0111  0.0111  0.0102  0.0093  0.0083  0.0074  0.0065  0.0056  0.0047  0.0037  0.0028  0.0019
 24.6000  0.0252  0.0259  0.0267  0.0274  0.0281  0.0289  0.0296  0.0303  0.0310  0.0318  0.0325  0.0301  0.0278  0.0254  0.0231  0.0207  0.0183  0.0160  0.0136  0.0113  0.0089
 25.0000  0.0227  0.0240  0.0253  0.0266  0.0279  0.0292  0.0305  0.0318  0.0331  0.0344  0.0357  0.0343  0.0329  0.0315  0.0301  0.0287  0.0272  0.0258  0.0244  0.0230  0.0216
 25.4000  0.0484  0.0504  0.0524  0.0544  0.0564  0.0584  0.0603  0.0623  0.0643  0.0663  0.0683  0.0616  0.0548  0.0481  0.0413  0.0345  0.0278  0.0210  0.0143  0.0076  0.0008
 25.8000  0.0592  0.0652  0.0712  0.0772  0.0832  0.0891  0.0951  0.1011  0.1071  0.1131  0.1191  0.1095  0.1000  0.0904  0.0809  0.0714  0.0618  0.0522  0.0427  0.0332  0.0236
 26.2000  0.1009  0.1130  0.1252  0.1373  0.1494  0.1616  0.1737  0.1858  0.1979  0.2101  0.2222  0.2061  0.1899  0.1737  0.1576  0.1415  0.1253  0.1091  0.0930  0.0768  0.0607
 26.6000  0.1235  0.1414  0.1594  0.1773  0.1953  0.2132  0.2311  0.2491  0.2670  0.2850  0.3029  0.2820  0.2611  0.2401  0.2192  0.1983  0.1774  0.1565  0.1355  0.1146  0.0937
 27.0000  0.0831  0.0999  0.1167  0.1335  0.1503  0.1671  0.1838  0.2006  0.2174  0.2342  0.2510  0.2311  0.2112  0.1912  0.1713  0.1514  0.1315  0.1116  0.0916  0.0717  0.0518
 27.4000  0.0863  0.0973  0.1082  0.1192  0.1301  0.1411  0.1521  0.1630  0.1740  0.1849  0.1959  0.1863  0.1766  0.1670  0.1574  0.1477  0.1381  0.1285  0.1189  0.1092  0.0996
 27.8000  0.1077  0.1172  0.1267  0.1363  0.1458  0.1553  0.1648  0.1743  0.1839  0.1934  0.2029  0.1952  0.1874  0.1797  0.1719  0.1641  0.1564  0.1487  0.1409  0.1332  0.1254
 28.2000  0.1680  0.1780  0.1881  0.1981  0.2082  0.2183  0.2283  0.2384  0.2484  0.2585  0.2685  0.2553  0.2421  0.2288  0.2156  0.2024  0.1892  0.1760  0.1627  0.1495  0.1363
 28.6000  0.2260  0.2450  0.2640  0.2830  0.3020  0.3209  0.3399  0.3589  0.3779  0.3969  0.4159  0.3930  0.3702  0.3473  0.3245  0.3016  0.2787  0.2559  0.2330  0.2102  0.1873
 29.0000  0.3298  0.3547  0.3797  0.4046  0.4296  0.4545  0.4794  0.5044  0.5293  0.5543  0.5792  0.5401  0.5009  0.4618  0.4226  0.3835  0.3444  0.3052  0.2661  0.2269  0.1878
 29.4000  0.3455  0.3736  0.4017  0.4297  0.4578  0.4859  0.5140  0.5421  0.5701  0.5982  0.6263  0.5811  0.5359  0.4907  0.4455  0.4003  0.3551  0.3099  0.2647  0.2195  0.1743
 29.8000  0.3725  0.3992  0.4258  0.4525  0.4791  0.5058  0.5325  0.5591  0.5858  0.6124  0.6391  0.5973  0.5555  0.5138  0.4720  0.4302  0.3884  0.3466  0.3049  0.2631  0.2213
 30.2000  0.3678  0.3969  0.4260  0.4550  0.4841  0.5132  0.5423  0.5714  0.6004  0.6295  0.6586  0.6224  0.5862  0.5499  0.5137  0.4775  0.4413  0.4051  0.3688  0.3326  0.2964
 30.6000  0.4914  0.5087  0.5260  0.5433  0.5606  0.5778  0.5951  0.6124  0.6297  0.6470  0.6643  0.6224  0.5805  0.5386  0.4967  0.4548  0.4129  0.3710  0.3291  0.2872  0.2453
 31.0000  0.6150  0.6524  0.6898  0.7271  0.7645  0.8019  0.8393  0.8767  0.9140  0.9514  0.9888  0.9581  0.9274  0.8966  0.8659  0.8352  0.8045  0.7738  0.7430  0.7123  0.6816
 31.4000  0.8688  0.8783  0.8877  0.8972  0.9066  0.9161  0.9256  0.9350  0.9445  0.9539  0.9634  0.9538  0.9443  0.9347  0.9252  0.9156  0.9060  0.8965  0.8869  0.8774  0.8678
 31.8000  0.9856  0.9768  0.9679  0.9591  0.9503  0.9414  0.9326  0.9238  0.9150  0.9061  0.8973  0.9059  0.9144  0.9230  0.9316  0.9402  0.9487  0.9573  0.9659  0.9744  0.9830
 32.2000  1.0000  0.9815  0.9629  0.9444  0.9259  0.9074  0.8888  0.8703  0.8518  0.8332  0.8147  0.8332  0.8518  0.8703  0.8888  0.9074  0.9259  0.9444  0.9629  0.9815  1.0000
