   wl      B2_01   B2_02   B2_03   B2_04   B2_05   B2_06   B2_07   B2_08   B2_09   B2_10   B2_11   B2_12   B2_13   B2_14   B2_15   B2_16   B2_17   B2_18   B2_19   B2_20   B2_21
 43.2000  0.8240  0.5218  0.8286  0.7236  0.7992  0.8824  0.9952  1.0000  1.0000  0.9609  0.9249  0.8740  0.8715  0.8689  0.8663  0.8638  0.8497  0.8357  0.8216  0.8076  0.7935
 43.6000  0.7101  0.4477  0.7091  0.6323  0.7345  0.8775  1.0000  0.9898  0.9331  0.8914  0.8273  0.7567  0.7671  0.7775  0.7880  0.7984  0.7801  0.7618  0.7436  0.7253  0.7070
 44.0000  0.6518  0.4029  0.6087  0.5372  0.6475  0.8122  0.9582  0.9801  0.9247  0.8195  0.7177  0.6468  0.6667  0.6867  0.7067  0.7266  0.7017  0.6768  0.6518  0.6269  0.6020
 44.4000  0.6147  0.3686  0.5337  0.4542  0.5410  0.7731  0.9531  0.9096  0.8481  0.7225  0.6461  0.5721  0.5954  0.6188  0.6421  0.6655  0.6365  0.6076  0.5786  0.5497  0.5207
 44.8000  0.5835  0.3567  0.4357  0.3508  0.4761  0.6921  0.9165  0.8582  0.7558  0.6168  0.5706  0.5203  0.5399  0.5595  0.5791  0.5987  0.5685  0.5383  0.5082  0.4780  0.4478
 45.2000  0.5594  0.3830  0.3858  0.2894  0.3967  0.6242  0.8646  0.7942  0.7006  0.5417  0.4926  0.5001  0.5229  0.5457  0.5685  0.5913  0.5479  0.5045  0.4611  0.4177  0.3743
 45.6000  0.5609  0.4114  0.3456  0.2842  0.3771  0.6041  0.8080  0.7238  0.6409  0.5280  0.4692  0.5326  0.5350  0.5375  0.5399  0.5424  0.5127  0.4829  0.4532  0.4234  0.3937
 46.0000  0.5599  0.4360  0.3251  0.2554  0.3682  0.6137  0.7496  0.7279  0.6347  0.5258  0.4676  0.4816  0.4854  0.4893  0.4931  0.4969  0.4773  0.4577  0.4380  0.4184  0.3988
 46.4000  0.5664  0.5064  0.3563  0.2800  0.3645  0.5961  0.7411  0.6417  0.6323  0.5548  0.4414  0.4690  0.4569  0.4448  0.4328  0.4207  0.4338  0.4469  0.4601  0.4732  0.4863
 46.8000  0.5220  0.4627  0.3410  0.2826  0.3742  0.6222  0.7189  0.6400  0.6247  0.5745  0.3980  0.4068  0.4003  0.3938  0.3873  0.3808  0.4157  0.4506  0.4855  0.5204  0.5553
 47.2000  0.4671  0.3968  0.3579  0.3109  0.3314  0.6346  0.7051  0.6325  0.5840  0.5375  0.3530  0.3338  0.3201  0.3063  0.2926  0.2789  0.3437  0.4084  0.4732  0.5379  0.6027
 47.6000  0.3492  0.3202  0.3862  0.2717  0.3388  0.5906  0.6354  0.5883  0.5013  0.4083  0.2614  0.2567  0.2517  0.2468  0.2418  0.2368  0.3000  0.3632  0.4265  0.4897  0.5529
 48.0000  0.2930  0.2590  0.3220  0.2722  0.3528  0.5428  0.5177  0.4982  0.4454  0.3371  0.2215  0.2024  0.2038  0.2052  0.2065  0.2079  0.2662  0.3244  0.3827  0.4409  0.4992
 48.4000  0.2423  0.2310  0.2733  0.3153  0.3766  0.4712  0.4475  0.4567  0.3768  0.3139  0.1641  0.1838  0.1912  0.1986  0.2059  0.2133  0.2503  0.2873  0.3243  0.3613  0.3983
 48.8000  0.2122  0.1572  0.1951  0.2742  0.3564  0.4058  0.3489  0.3835  0.3215  0.2607  0.1477  0.1831  0.1892  0.1952  0.2013  0.2074  0.2371  0.2668  0.2965  0.3262  0.3559
 49.2000  0.2260  0.1761  0.1796  0.2747  0.4179  0.3434  0.3252  0.2985  0.3178  0.2591  0.1349  0.2005  0.2204  0.2404  0.2603  0.2803  0.2823  0.2843  0.2862  0.2882  0.2902
 49.6000  0.1960  0.1392  0.1796  0.2223  0.2761  0.3434  0.3252  0.2985  0.2799  0.2591  0.1349  0.2005  0.2161  0.2317  0.2474  0.2630  0.2374  0.2117  0.1861  0.1604  0.1348
 50.0000  0.1176  0.0835  0.1078  0.1334  0.1657  0.2060  0.1951  0.1791  0.1679  0.1555  0.0809  0.1203  0.1297  0.1391  0.1484  0.1578  0.1424  0.1270  0.1117  0.0963  0.0809
 50.4000  0.0706  0.0501  0.0647  0.0800  0.0994  0.1236  0.1171  0.1075  0.1008  0.0933  0.0486  0.0722  0.0778  0.0835  0.0891  0.0947  0.0855  0.0762  0.0670  0.0577  0.0485
 50.8000  0.0423  0.0301  0.0388  0.0480  0.0596  0.0742  0.0702  0.0645  0.0605  0.0560  0.0291  0.0433  0.0467  0.0501  0.0534  0.0568  0.0513  0.0457  0.0402  0.0346  0.0291
 51.2000  0.0254  0.0180  0.0233  0.0288  0.0358  0.0445  0.0421  0.0387  0.0363  0.0336  0.0175  0.0260  0.0280  0.0301  0.0321  0.0341  0.0308  0.0275  0.0241  0.0208  0.0175
 51.6000  0.0152  0.0108  0.0140  0.0173  0.0215  0.0267  0.0253  0.0232  0.0218  0.0201  0.0105  0.0156  0.0168  0.0181  0.0193  0.0205  0.0185  0.0165  0.0145  0.0125  0.0105
 52.0000  0.0091  0.0065  0.0084  0.0104  0.0129  0.0160  0.0152  0.0139  0.0131  0.0121  0.0063  0.0094  0.0101  0.0109  0.0116  0.0123  0.0111  0.0099  0.0087  0.0075  0.0063
 52.4000  0.0055  0.0039  0.0050  0.0062  0.0077  0.0096  0.0091  0.0084  0.0078  0.0073  0.0038  0.0056  0.0060  0.0065  0.0070  0.0074  0.0067  0.0060  0.0052  0.0045  0.0038
 52.8000  0.0033  0.0023  0.0030  0.0037  0.0046  0.0058  0.0055  0.0050  0.0047  0.0044  0.0023  0.0034  0.0037  0.0039  0.0041  0.0044  0.0040  0.0036  0.0031  0.0027  0.0023
 53.2000  0.0020  0.0014  0.0018  0.0022  0.0028  0.0035  0.0033  0.0030  0.0028  0.0026  0.0014  0.0020  0.0022  0.0023  0.0025  0.0027  0.0024  0.0022  0.0019  0.0017  0.0014
 53.6000  0.0012  0.0008  0.0011  0.0013  0.0017  0.0021  0.0020  0.0018  0.0017  0.0016  0.0008  0.0012  0.0013  0.0014  0.0015  0.0016  0.0014  0.0013  0.0011  0.0010  0.0008
 54.0000  0.0007  0.0005  0.0007  0.0008  0.0010  0.0012  0.0012  0.0011  0.0010  0.0009  0.0005  0.0007  0.0008  0.0008  0.0009  0.0010  0.0009  0.0008  0.0007  0.0006  0.0005
