   wl      B2_01   B2_02   B2_03   B2_04   B2_05   B2_06   B2_07   B2_08   B2_09   B2_10   B2_11   B2_12   B2_13   B2_14   B2_15   B2_16   B2_17   B2_18   B2_19   B2_20   B2_21
 30.0000  0.0017  0.0076  0.0029  0.0049  0.0026  0.0013  0.0027  0.0031  0.0020  0.0018  0.0024  0.0041  0.0033  0.0024  0.0016  0.0007  0.0011  0.0015  0.0019  0.0023  0.0027
 30.4000  0.0029  0.0127  0.0048  0.0082  0.0043  0.0021  0.0044  0.0052  0.0033  0.0030  0.0040  0.0069  0.0055  0.0041  0.0026  0.0012  0.0018  0.0025  0.0031  0.0038  0.0044
 30.8000  0.0048  0.0212  0.0080  0.0136  0.0072  0.0035  0.0074  0.0087  0.0054  0.0051  0.0066  0.0115  0.0091  0.0067  0.0044  0.0020  0.0031  0.0042  0.0052  0.0063  0.0074
 31.2000  0.0080  0.0353  0.0134  0.0227  0.0120  0.0058  0.0123  0.0145  0.0091  0.0085  0.0110  0.0191  0.0152  0.0113  0.0073  0.0034  0.0052  0.0070  0.0087  0.0105  0.0123
 31.6000  0.0133  0.0589  0.0223  0.0379  0.0199  0.0097  0.0205  0.0242  0.0151  0.0141  0.0184  0.0319  0.0253  0.0188  0.0122  0.0056  0.0086  0.0116  0.0145  0.0175  0.0205
 32.0000  0.0222  0.0981  0.0371  0.0631  0.0332  0.0161  0.0341  0.0403  0.0252  0.0235  0.0306  0.0531  0.0422  0.0312  0.0203  0.0094  0.0144  0.0193  0.0243  0.0292  0.0342
 32.4000  0.0476  0.1901  0.0521  0.0589  0.0276  0.0260  0.0578  0.0505  0.0487  0.0522  0.0821  0.0945  0.0731  0.0517  0.0304  0.0090  0.0201  0.0312  0.0424  0.0535  0.0646
 32.8000  0.0753  0.1817  0.0645  0.0426  0.0347  0.0326  0.1283  0.0970  0.1155  0.0876  0.1480  0.1917  0.1453  0.0990  0.0526  0.0063  0.0312  0.0561  0.0810  0.1059  0.1308
 33.2000  0.1164  0.1416  0.0889  0.0426  0.0353  0.0539  0.2801  0.2407  0.2450  0.2029  0.3149  0.3695  0.2809  0.1924  0.1038  0.0152  0.0692  0.1233  0.1773  0.2314  0.2854
 33.6000  0.1681  0.0836  0.1171  0.0423  0.0387  0.1244  0.5468  0.5096  0.4765  0.3771  0.4590  0.4960  0.3759  0.2559  0.1358  0.0157  0.1100  0.2043  0.2985  0.3928  0.4871
 34.0000  0.2779  0.0657  0.1509  0.0429  0.0413  0.2086  0.7345  0.7594  0.7105  0.5905  0.5300  0.4949  0.3773  0.2597  0.1421  0.0245  0.1455  0.2666  0.3876  0.5087  0.6297
 34.4000  0.3660  0.0479  0.1745  0.0486  0.0642  0.3477  0.7531  0.8252  0.7751  0.6748  0.3992  0.3215  0.2471  0.1727  0.0984  0.0240  0.1241  0.2241  0.3242  0.4242  0.5243
 34.8000  0.3118  0.0491  0.1693  0.0656  0.0748  0.4305  0.6650  0.6696  0.5960  0.4902  0.2413  0.1733  0.1391  0.1049  0.0707  0.0365  0.0979  0.1593  0.2208  0.2822  0.3436
 35.2000  0.2194  0.0334  0.1501  0.0321  0.0659  0.5029  0.4493  0.4619  0.3466  0.3240  0.1859  0.1566  0.1284  0.1002  0.0720  0.0438  0.0782  0.1126  0.1470  0.1814  0.2158
 35.6000  0.1764  0.0457  0.1446  0.0583  0.1097  0.6097  0.3138  0.3455  0.2783  0.2556  0.1763  0.1680  0.1390  0.1101  0.0811  0.0521  0.0668  0.0816  0.0963  0.1111  0.1258
 36.0000  0.1946  0.0451  0.1402  0.0653  0.1469  0.6785  0.2736  0.2990  0.2721  0.2651  0.2021  0.1970  0.1646  0.1323  0.0999  0.0676  0.0711  0.0746  0.0782  0.0817  0.0852
 36.4000  0.1900  0.0548  0.1739  0.1003  0.2038  0.7084  0.2559  0.2934  0.2731  0.3001  0.2492  0.2571  0.2157  0.1744  0.1331  0.0917  0.0878  0.0839  0.0800  0.0761  0.0722
 36.8000  0.1924  0.0546  0.2279  0.1353  0.3547  0.6112  0.2937  0.3366  0.3375  0.3366  0.2758  0.3475  0.2885  0.2295  0.1705  0.1115  0.1066  0.1016  0.0967  0.0917  0.0868
 37.2000  0.2026  0.0948  0.2843  0.2019  0.5078  0.4927  0.3575  0.4010  0.4262  0.4117  0.3748  0.4582  0.3966  0.3350  0.2734  0.2118  0.1897  0.1676  0.1455  0.1234  0.1013
 37.6000  0.2309  0.1452  0.3311  0.3558  0.6657  0.4740  0.4188  0.4842  0.5319  0.4980  0.4809  0.5720  0.5197  0.4674  0.4150  0.3627  0.3165  0.2702  0.2240  0.1777  0.1315
 38.0000  0.2945  0.1870  0.4110  0.5232  0.6669  0.5088  0.5410  0.6346  0.6822  0.5493  0.5474  0.5829  0.5997  0.6166  0.6334  0.6503  0.5530  0.4557  0.3585  0.2612  0.1639
 38.4000  0.4183  0.2528  0.4709  0.6468  0.5652  0.5919  0.7122  0.7431  0.6925  0.4978  0.4668  0.4235  0.5018  0.5802  0.6585  0.7368  0.6408  0.5448  0.4487  0.3527  0.2567
 38.8000  0.5751  0.3939  0.5763  0.6792  0.5298  0.7177  0.8582  0.7849  0.6168  0.4157  0.3932  0.3762  0.4340  0.4918  0.5496  0.6074  0.5715  0.5355  0.4996  0.4636  0.4277
 39.2000  0.8440  0.5721  0.6336  0.6767  0.5750  0.9204  0.8429  0.5943  0.4766  0.3833  0.3988  0.4192  0.4370  0.4549  0.4727  0.4906  0.5214  0.5522  0.5830  0.6138  0.6446
 39.6000  0.9698  0.8398  0.7539  0.7605  0.7033  1.0000  0.7072  0.4941  0.4884  0.4340  0.4978  0.4939  0.4909  0.4878  0.4848  0.4817  0.5608  0.6399  0.7190  0.7981  0.8772
 40.0000  1.0000  0.9598  0.8315  0.8338  0.8360  0.9939  0.5624  0.4750  0.5115  0.4760  0.5648  0.5669  0.5629  0.5589  0.5549  0.5509  0.6407  0.7305  0.8204  0.9102  1.0000
 40.4000  0.9048  1.0000  0.9101  0.9175  0.9593  0.8853  0.5243  0.4802  0.5833  0.5725  0.6246  0.6690  0.6635  0.6580  0.6524  0.6469  0.7132  0.7794  0.8457  0.9119  0.9782
 40.8000  0.8850  0.8935  1.0000  1.0000  1.0000  0.7791  0.5092  0.4812  0.6023  0.6157  0.7039  0.7421  0.7472  0.7522  0.7573  0.7624  0.7966  0.8309  0.8651  0.8994  0.9336
 41.2000  0.8873  0.8574  0.9563  0.9765  0.9881  0.7335  0.5404  0.5446  0.6462  0.6593  0.7595  0.8243  0.8320  0.8397  0.8475  0.8552  0.8513  0.8475  0.8436  0.8398  0.8359
 41.6000  0.8895  0.7739  0.9437  0.9441  0.9225  0.7355  0.5999  0.6045  0.7219  0.7756  0.8395  0.9033  0.9162  0.9291  0.9421  0.9550  0.9325  0.9100  0.8874  0.8649  0.8424
 42.0000  0.9157  0.7433  0.9089  0.9030  0.9188  0.7549  0.7165  0.7449  0.8744  0.8821  0.9105  1.0000  1.0000  1.0000  1.0000  1.0000  0.9720  0.9440  0.9160  0.8880  0.8600
 42.4000  0.9190  0.6666  0.8718  0.8412  0.8513  0.7987  0.8133  0.8481  0.9410  0.9545  1.0000  0.9952  0.9880  0.9808  0.9736  0.9664  0.9351  0.9038  0.8726  0.8413  0.8100
 42.8000  0.8442  0.6077  0.8602  0.8067  0.8411  0.8518  0.9063  0.9665  0.9671  1.0000  0.9739  0.9561  0.9441  0.9321  0.9201  0.9081  0.8945  0.8810  0.8674  0.8539  0.8403
